phase,parameter,value_low,value_high,unit,allocation_rule,assumption,source,source_tier
roof,labor_hours_per_m2,NA,NA,h / m2,-,Same; defer to roof-tile/steel-trussed strand,NA,missing
roof,time_days,NA,NA,calendar days,-,Same,NA,missing
roof,cost_eur_per_m2,NA,NA,EUR / m2,-,Same,NA,missing
roof,material_origin,NA,NA,qualitative,-,Same,NA,missing
openings,co2_kg_per_m2,NA,NA,kg CO2eq / m2 GFA,NA,Reclaimed-brick wall openings formed in brick + mortar; brick lintels small carbon dominated by new-mortar reported jointly under structure row; no separate openings CO2 figure,NA,missing
openings,labor_hours_per_m2,0.5,1.5,h / m2,-,Indicative: reclaimed-brick lintel formation adds ~0.5-1.5 h per m2 of opening to the structure-phase laying rate; not normalised to GFA - needs cross-strand reconciliation,engineering judgement on Salmio & Huuhka 2026 + BEDEC,3
openings,time_days,NA,NA,calendar days,-,NA,NA,missing
openings,cost_eur_per_m2,NA,NA,EUR / m2,-,NA,NA,missing
openings,material_origin,reclaimed timber lintels (if available) or new RC lintels,reclaimed steel lintels from urban mining,qualitative,-,K.118 demonstrated reused-steel lintels from Basel-sourced steel skeleton building; no primary data on Catalan reclaimed lintel supply,K.118 (insitu),2
finishing,co2_kg_per_m2,0,5,kg CO2eq / m2 GFA,cut-off,Exposed reclaimed-brick walls require minimal finishing - no render or paint typically applied; surface IS the architectural feature; carbon ~0-5 kg CO2eq/m2 (sealant + optional repointing mortar only),RBC EPD 2024 + IAAC Mat Mining,1
finishing,labor_hours_per_m2,0.2,1.0,h / m2,-,Repointing + cleaning of exposed face; no render/skim layer needed,Salmio & Huuhka 2026,1
finishing,time_days,1,4,calendar days,-,Repointing + final cleaning for ~100m2 wall area,engineering judgement on Salmio & Huuhka 2026,2
finishing,cost_eur_per_m2,5,20,EUR / m2,-,Repointing labour + sealant; BEDEC 2026 lists rendered-facade finishing at EUR15-35/m2; reclaimed-brick exposed face lower because no render needed,BEDEC 2026 (proxy),2
finishing,material_origin,lime-based pointing mortar (locally batched),hydraulic-lime mortar (local quarry within 100km),qualitative,-,Lime mortar preferred for compatibility with old reclaimed bricks; cement mortar reduces future-reclaim potential (third-life loss),Salmio & Huuhka 2026 + Devos 2024,1
