method,data_model,display_mode,phase,lifecycle_stage,sub_method,metric,value_low,value_high,unit,basis,source_key,confidence_min,confidence_max,selected_material,notes,metadata
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,modular_concrete,labour_factory,4,12,hours,hours_per_m2_gfa,pan-hon-2012,0.55,0.72,modular_concrete_prefab,Factory hours per m2 finished GFA; modular concrete Hong Kong/European industry data; rises with finishes-included scope,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Pan & Hon 2012; industry data"", ""raw_unit"": ""h / m2 GFA"", ""source_keys"": [""pan-hon-2012"", ""industry-data""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,clt,labour_factory,2,6,hours,hours_per_m2_gfa,stora-enso-epd,0.55,0.72,timber_clt_prefab,CLT panel CNC + lay-up + pressing; lower than modular concrete because CLT is element-based not volumetric,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": false, ""raw_source"": ""Stora Enso EPD; vendor sibling"", ""raw_unit"": ""h / m2 GFA"", ""source_keys"": [""stora-enso-epd"", ""engineering-judgement-import""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,modular_concrete,factory_lead_time,60,120,days,calendar_days,pan-hon-2012,0.55,0.72,modular_concrete_prefab,From order to factory-completion of modules for mid-rise; concurrent with site prep,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Pan & Hon 2012; industry data"", ""raw_unit"": ""calendar days"", ""source_keys"": [""pan-hon-2012"", ""industry-data""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,clt,factory_lead_time,30,90,days,calendar_days,klh-epd,0.55,0.72,timber_clt_prefab,Order-to-delivery for CLT panel package from Austrian mill; mid-rise residential,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""KLH EPD; Stora Enso EPD"", ""raw_unit"": ""calendar days"", ""source_keys"": [""klh-epd"", ""stora-enso-epd""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A4,modular_concrete,transport_carbon,8,25,kg CO2eq,per_m2_gfa,pan-hon-2012,0.55,0.72,modular_concrete_prefab,Modular concrete intra-Spain (Moodul Catalonia ~200-500km road); modules heavy+bulky raises per-tonne-km figure,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": false, ""raw_source"": ""Pan & Hon 2012; Moodul (vendor)"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""pan-hon-2012"", ""moodul-vendor""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A4,clt,transport_carbon,25,60,kg CO2eq,per_m2_gfa,stora-enso-epd,0.55,0.72,timber_clt_prefab,CLT Austria to Barcelona ~1800-2200km road; ~0.06 kg CO2eq/tonne-km diesel HGV * panel mass per m2 GFA; CATALONIA-SPECIFIC PENALTY most LCAs ignore,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Stora Enso EPD"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""stora-enso-epd""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A4,modular_concrete,transport_distance,200,500,km,distance_km,moodul-vendor,0.55,0.72,modular_concrete_prefab,Modular concrete sourced within Spain; Moodul (Castelldefels) Modular Home (Valencia) to BCN site,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": false, ""raw_source"": ""Moodul (vendor)"", ""raw_unit"": ""km"", ""source_keys"": [""moodul-vendor""], ""source_tier"": ""3""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A4,clt,transport_distance,1800,2200,km,distance_km,klh-epd,0.55,0.72,timber_clt_prefab,Austria to Barcelona road; Sweden to Barcelona 2500-3000km,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""KLH EPD"", ""raw_unit"": ""km"", ""source_keys"": [""klh-epd""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A4,modular_concrete,transport_cost,30,80,EUR,eur_per_m2,moodul-vendor,0.55,0.72,modular_concrete_prefab,Heavy-haul abnormal load for volumetric modules within Spain,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": false, ""raw_source"": ""Moodul (vendor)"", ""raw_unit"": ""EUR / m2"", ""source_keys"": [""moodul-vendor""], ""source_tier"": ""3""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A4,clt,transport_cost,80,180,EUR,eur_per_m2,unknown_import,0.55,0.72,timber_clt_prefab,Multi-truck CLT panel delivery from Austrian mill to Catalan site,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": null, ""raw_unit"": ""EUR / m2"", ""source_keys"": [""unknown_import""], ""source_tier"": ""missing""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,modular_concrete,site_carbon,30,80,kg CO2eq,per_m2_gfa,wei-2024,0.55,0.72,modular_concrete_prefab,On-site activity emissions modular concrete; reduced 58% vs cast-in-place equivalent due to compressed schedule,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Wei 2024"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""wei-2024""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,clt,site_carbon,15,50,kg CO2eq,per_m2_gfa,hemmati-2024,0.55,0.72,timber_clt_prefab,CLT site assembly; lower than modular concrete because lifts lighter and sequence faster,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Hemmati 2024; Pan & Hon 2012"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""hemmati-2024"", ""pan-hon-2012""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,modular_concrete,site_waste,8,15,kg,kg_per_m2_gfa,pan-hon-2012,0.55,0.72,modular_concrete_prefab,Modular concrete site waste; factory-controlled offcut,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Pan & Hon 2012; Wei 2024"", ""raw_unit"": ""kg / m2 GFA"", ""source_keys"": [""pan-hon-2012"", ""wei-2024""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,clt,site_waste,5,12,kg,kg_per_m2_gfa,hemmati-2024,0.55,0.72,timber_clt_prefab,CLT panel waste on site; offcuts mostly captured at factory,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Hemmati 2024; Pan & Hon 2012"", ""raw_unit"": ""kg / m2 GFA"", ""source_keys"": [""hemmati-2024"", ""pan-hon-2012""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,modular_concrete,site_labour,1.5,4.0,hours,hours_per_m2_gfa,pan-hon-2012,0.55,0.72,modular_concrete_prefab,On-site hours modular concrete erection; excludes finishes done off-site,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Pan & Hon 2012; Wei 2024"", ""raw_unit"": ""h / m2 GFA"", ""source_keys"": [""pan-hon-2012"", ""wei-2024""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,clt,site_labour,1.0,3.0,hours,hours_per_m2_gfa,stora-enso-epd,0.55,0.72,timber_clt_prefab,"On-site hours CLT panel installation; ""5-8 days for a 3-bed detached"" industry data","{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": false, ""raw_source"": ""Stora Enso EPD; vendor sibling"", ""raw_unit"": ""h / m2 GFA"", ""source_keys"": [""stora-enso-epd"", ""engineering-judgement-import""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,modular_concrete,site_time,0.4,1.0,days,days_per_m2_gfa,wei-2024,0.55,0.72,modular_concrete_prefab,On-site duration per m2 modular concrete; mainstream EU mid-rise modular,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Wei 2024; Pan & Hon 2012"", ""raw_unit"": ""days / m2 GFA"", ""source_keys"": [""wei-2024"", ""pan-hon-2012""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,clt,site_time,0.3,0.8,days,days_per_m2_gfa,hemmati-2024,0.55,0.72,timber_clt_prefab,On-site duration per m2 CLT erection + secondary trades,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Hemmati 2024; Pan & Hon 2012"", ""raw_unit"": ""days / m2 GFA"", ""source_keys"": [""hemmati-2024"", ""pan-hon-2012""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,modular_concrete,site_cost,200,500,EUR,eur_per_m2,moodul-vendor,0.55,0.72,modular_concrete_prefab,On-site assembly + crane + labour modular concrete in Spain,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": false, ""raw_source"": ""Moodul (vendor)"", ""raw_unit"": ""EUR / m2"", ""source_keys"": [""moodul-vendor""], ""source_tier"": ""3""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A5,clt,site_cost,250,600,EUR,eur_per_m2,moodul-vendor,0.55,0.72,timber_clt_prefab,On-site CLT assembly + finishes start; Spanish carpentry rates applied to CLT industry workflow,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": false, ""raw_source"": ""NA; Moodul (vendor)"", ""raw_unit"": ""EUR / m2"", ""source_keys"": [""moodul-vendor""], ""source_tier"": ""missing""}"
prefab,lifecycle_based,prefab_lifecycle_card,,B,both,service_life,60,100,years,total_years,andersen-2022,0.55,0.72,,EN 15978 default 60yr; 100yr is building-quality narrative; doubles annualised comparison sensitivity,"{""extra_fields"": {""sub_method"": ""both""}, ""primary"": true, ""raw_source"": ""Andersen 2022"", ""raw_unit"": ""years"", ""source_keys"": [""andersen-2022""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,B,modular_concrete,reuse_potential_modular,1,2,cycles,count,wei-2024-footnote,0.55,0.72,modular_concrete_prefab,Volumetric units designed for relocation; Wang Cheong 220 (HK) and Daiwa House (NL) precedent; 25-50yr per cycle,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Wei 2024 footnote; Pan & Hon 2012"", ""raw_unit"": ""second-life cycles"", ""source_keys"": [""wei-2024-footnote"", ""pan-hon-2012""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,B,clt,reuse_potential_clt,0,1,cycles,count,hemmati-2024,0.55,0.72,timber_clt_prefab,CLT can in principle be deconstructed but literature thin on actual second-life projects; biggest barrier = panel-edge damage from de-fixing,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Hemmati 2024"", ""raw_unit"": ""second-life cycles"", ""source_keys"": [""hemmati-2024""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,C,modular_concrete,eol_carbon_with_reuse,-150,-50,kg CO2eq,per_m2_gfa,wei-2024-footnote,0.55,0.72,modular_concrete_prefab,"Net negative when 25-50yr second-life assumed + avoided-burden allocation applied; the ""20-26% annualised reduction"" relies on this","{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Wei 2024 footnote; Andersen 2022"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""wei-2024-footnote"", ""andersen-2022""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,C,modular_concrete,eol_carbon_no_reuse,30,80,kg CO2eq,per_m2_gfa,liu-2021,0.55,0.72,modular_concrete_prefab,Demolition + downcycling of concrete modules; no second life,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Liu 2021"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""liu-2021""], ""source_tier"": ""2""}"
prefab,lifecycle_based,prefab_lifecycle_card,,C,clt,eol_carbon_clt_incineration,700,800,kg CO2eq,per_m3,stora-enso-epd,0.55,0.72,timber_clt_prefab,"Biogenic carbon released if CLT incinerated; mirror-image of A1 storage - this is C3 release that ""balances"" the negative A1 figure","{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Stora Enso EPD; KLH EPD"", ""raw_unit"": ""kg CO2eq / m3"", ""source_keys"": [""stora-enso-epd"", ""klh-epd""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,C,clt,eol_carbon_clt_reuse,0,200,kg CO2eq,per_m3,hemmati-2024,0.55,0.72,timber_clt_prefab,If CLT landfilled (slow biodegradation) or reused biogenic carbon stays sequestered for lifespan of next host product,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Hemmati 2024"", ""raw_unit"": ""kg CO2eq / m3"", ""source_keys"": [""hemmati-2024""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,C,both,reuse_allocation_method,null,null,label,qualitative_label,andersen-2022,0.55,0.72,,Cut-off vs avoided-burden vs PEF Circular Footprint Formula - all three give different signs; EN 15804+A2 module D is EU default but methodologically contested,"{""extra_fields"": {""sub_method"": ""both""}, ""primary"": true, ""raw_source"": ""Andersen 2022; Liu 2021"", ""raw_unit"": ""qualitative"", ""source_keys"": [""andersen-2022"", ""liu-2021""], ""source_tier"": ""1""}"
